refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,VSNTpre_VSNTpost
0,1.0,0,23935,0.763671875,0.173828125,3.0,1.0,9,55,4,1199.55114746094,180.002426147461,0,1,faces,male,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23936,0.998046875,0.1953125,4.0,1.0,13,74,5,1336.04064941406,276.612548828125,0,1,faces,male,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23937,1.2421875,0.125,5.0,0.0,14,75,6,1392.00866699219,378.409729003906,0,1,objects,big,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23938,1.443359375,0.107421875,6.0,0.0,8,48,7,1059.40600585938,374.208923339844,0,1,faces,female,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23939,1.6171875,0.19921875,7.0,0.0,3,22,8,791.37841796875,451.220367431641,0,1,objects,small,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23940,1.861328125,0.138671875,8.0,0.0,4,32,9,879.199462890625,544.513061523438,0,1,objects,small,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23941,2.05859375,0.189453125,9.0,0.0,5,34,10,812.257751464844,723.930358886719,0,1,faces,male,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23942,2.306640625,0.26171875,10.0,0.0,2,16,11,651.463256835938,748.50146484375,0,1,faces,male,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23943,2.640625,0.236328125,11.0,0.0,7,42,12,959.244750976562,639.0673828125,0,1,faces,female,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23944,2.9453125,0.13671875,12.0,0.0,12,70,13,1261.6552734375,735.941467285156,0,1,objects,big,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,1.0,0,23945,3.134765625,0.140625,13.0,0.0,11,68,14,1262.39538574219,555.264465332031,0,1,objects,big,1,1,faces,P,male,VS,I,29,E01,117.779296875,1
0,0.0,0,23963,0.818359375,0.275390625,2.0,1.0,13,69,5,1305.93884277344,651.230285644531,0,1,faces,male,0,1,faces,A,male,VS,F,30,E01,121.978515625,0
0,0.0,0,23964,1.1484375,0.16796875,3.0,1.0,9,59,6,1173.68701171875,551.759582519531,0,1,faces,male,0,1,faces,A,male,VS,F,30,E01,121.978515625,0
0,0.0,0,23968,1.931640625,0.279296875,4.0,1.0,8,40,10,961.221618652344,415.020324707031,0,1,faces,female,0,1,faces,A,male,VS,F,30,E01,121.978515625,0
0,0.0,0,23969,2.23828125,0.18359375,5.0,0.0,7,39,11,959.088195800781,345.226989746094,0,1,faces,female,0,1,faces,A,male,VS,F,30,E01,121.978515625,0
0,0.0,0,23970,2.48828125,0.142578125,6.0,0.0,5,22,12,750.748474121094,451.231689453125,0,1,faces,male,0,1,faces,A,male,VS,F,30,E01,121.978515625,0
0,0.0,0,23971,2.703125,0.3125,7.0,0.0,4,19,13,749.631225585938,169.009216308594,0,1,faces,female,0,1,faces,A,male,VS,F,30,E01,121.978515625,0
0,0.0,1,23972,3.078125,0.11328125,8.0,0.0,2,11,14,650.890869140625,270.786010742188,0,1,faces,male,0,1,faces,A,male,VS,F,30,E01,121.978515625,0
0,0.0,0,23974,3.541015625,0.337890625,9.0,0.0,11,64,16,1259.93762207031,173.703430175781,0,1,objects,big,0,1,faces,A,male,VS,F,30,E01,121.978515625,0
1,0.0,0,23990,0.80859375,0.109375,2.0,1.0,3,13,3,637.665405273438,444.474395751953,0,1,objects,small,0,1,faces,A,male,VS,I,31,E01,126.177734375,0
0,0.0,0,23991,1.013671875,0.263671875,3.0,1.0,14,58,4,1115.99609375,432.606292724609,0,1,faces,female,0,1,faces,A,male,VS,I,31,E01,126.177734375,0
0,0.0,0,23992,1.341796875,0.123046875,4.0,1.0,15,76,5,1312.47644042969,416.196258544922,0,1,faces,female,0,1,faces,A,male,VS,I,31,E01,126.177734375,0
0,0.0,0,23993,1.5,0.20703125,5.0,0.0,13,57,6,1182.75610351562,356.814270019531,0,1,faces,male,0,1,faces,A,male,VS,I,31,E01,126.177734375,0
0,0.0,0,23994,1.783203125,0.2265625,6.0,0.0,8,25,7,753.796813964844,693.771118164062,0,1,objects,big,0,1,faces,A,male,VS,I,31,E01,126.177734375,0
0,0.0,0,23995,2.083984375,0.20703125,7.0,0.0,4,17,8,657.141662597656,876.373840332031,0,1,objects,small,0,1,faces,A,male,VS,I,31,E01,126.177734375,0
0,0.0,0,23996,2.36328125,0.263671875,8.0,0.0,12,54,9,1079.17834472656,938.452270507812,0,1,faces,male,0,1,faces,A,male,VS,I,31,E01,126.177734375,0
0,0.0,0,23998,2.837890625,0.283203125,9.0,0.0,1,5,11,546.710266113281,555.960144042969,0,1,faces,male,0,1,faces,A,male,VS,I,31,E01,126.177734375,0
0,0.0,1,23999,3.197265625,0.12109375,10.0,0.0,9,36,12,888.286437988281,940.824401855469,0,1,faces,female,0,1,faces,A,male,VS,I,31,E01,126.177734375,0
0,1.0,0,24012,0.658203125,0.205078125,2.0,1.0,11,65,4,1310.43896484375,281.281890869141,0,1,objects,small,1,1,objects,P,small,VS,O,32,E01,130.376953125,1
1,0.0,0,24031,1.814453125,0.240234375,2.0,1.0,12,48,9,1034.53112792969,342.316711425781,0,1,objects,small,0,1,objects,A,big,VS,O,33,E01,134.576171875,0
