refix,pretarget,multifix,urevent,tonset,dur_added,rank,first_rank,stposrel,stposabs,n,x,y,istarget,isdistractor,distractor_cat,ditractor_atr,trial_targetseen,trial_correct,trial_cat,trial_resp,trial_atr,trial_type,trial_cattype,trial_number,trial_subject,trial_bgn_latency,Nrank,N_subj_rank,NC_subj_rank,NC_rank,VSNT_EX,isEX
0,1,0,27324,3.982421875,0.20703125,4,1,14,68,12,1300.57470703125,544.365661621094,0,1,faces,male,0,1,faces,A,female,EX,F,44,J04,180.767578125,1.0,0.18181818181818182,-0.3181818181818182,0.5,0,1
1,1,0,27352,0.388671875,0.25,2,1,7,30,2,812.670043945312,385.187377929688,0,1,objects,small,0,1,objects,A,small,VS,O,46,J04,189.166015625,0.0,0.0,-0.5,-0.5,1,0
0,1,0,27353,0.671875,0.29296875,3,1,10,38,3,920.988464355469,244.566482543945,0,1,objects,big,0,1,objects,A,small,VS,O,46,J04,189.166015625,0.2,0.09090909090909091,-0.40909090909090906,-0.3,1,0
0,1,0,27355,1.1640625,0.189453125,4,1,14,77,5,1345.48986816406,581.292724609375,0,1,objects,small,0,1,objects,A,small,VS,O,46,J04,189.166015625,0.4,0.18181818181818182,-0.3181818181818182,-0.09999999999999998,1,0
0,1,0,27356,1.916015625,0.201171875,5,0,5,18,6,635.570434570312,975.9453125,0,1,objects,big,0,1,objects,A,small,VS,O,46,J04,189.166015625,0.6,0.2727272727272727,-0.2272727272727273,0.09999999999999998,1,0
0,1,0,27358,2.369140625,0.1796875,6,0,11,44,8,933.916442871094,877.974426269531,0,1,faces,male,0,1,objects,A,small,VS,O,46,J04,189.166015625,0.8,0.36363636363636365,-0.13636363636363635,0.30000000000000004,1,0
0,1,0,27359,2.59375,0.16015625,7,0,3,13,9,666.990051269531,393.198547363281,0,1,faces,male,0,1,objects,A,small,VS,O,46,J04,189.166015625,1.0,0.45454545454545453,-0.04545454545454547,0.5,1,0
0,1,0,27410,1.501953125,0.197265625,2,1,2,10,5,670.588195800781,174.47673034668,0,1,faces,male,0,1,faces,A,male,EX,I,49,J04,201.763671875,0.0,0.0,-0.5,-0.5,0,1
0,1,1,27412,1.958984375,0.201171875,3,1,11,59,7,1189.70568847656,507.677032470703,0,1,faces,male,0,1,faces,A,male,EX,I,49,J04,201.763671875,0.3333333333333333,0.09090909090909091,-0.40909090909090906,-0.16666666666666669,0,1
0,1,0,27414,2.787109375,0.169921875,4,1,15,79,9,1310.33801269531,734.040832519531,0,1,objects,small,0,1,faces,A,male,EX,I,49,J04,201.763671875,0.6666666666666666,0.18181818181818182,-0.3181818181818182,0.16666666666666663,0,1
0,1,0,27416,3.30859375,0.26953125,5,0,14,76,11,1386.64721679688,421.672149658203,0,1,faces,male,0,1,faces,A,male,EX,I,49,J04,201.763671875,1.0,0.2727272727272727,-0.2272727272727273,0.5,0,1
0,1,0,27455,2.205078125,0.357421875,2,1,15,81,9,1386.63269042969,930.693237304688,0,1,faces,male,0,1,faces,A,male,EX,F,51,J04,210.162109375,0.0,0.0,-0.5,-0.5,0,1
0,1,0,27456,2.576171875,0.423828125,3,1,12,71,10,1275.67919921875,844.008178710938,0,1,faces,male,0,1,faces,A,male,EX,F,51,J04,210.162109375,0.25,0.09090909090909091,-0.40909090909090906,-0.25,0,1
0,1,0,27457,3.03515625,0.375,4,1,9,59,11,1169.31872558594,506.7109375,0,1,faces,male,0,1,faces,A,male,EX,F,51,J04,210.162109375,0.5,0.18181818181818182,-0.3181818181818182,0.0,0,1
0,1,0,27458,3.42578125,0.400390625,5,0,11,66,12,1259.80493164062,362.124969482422,0,1,objects,small,0,1,faces,A,male,EX,F,51,J04,210.162109375,0.75,0.2727272727272727,-0.2272727272727273,0.25,0,1
0,1,0,27459,3.859375,0.83203125,6,0,7,39,13,974.897521972656,344.492004394531,0,1,faces,female,0,1,faces,A,male,EX,F,51,J04,210.162109375,1.0,0.36363636363636365,-0.13636363636363635,0.5,0,1
0,1,0,27488,0.677734375,0.177734375,2,1,2,12,3,621.17919921875,309.098083496094,0,1,faces,female,0,1,faces,A,female,EX,I,53,J04,218.560546875,0.0,0.0,-0.5,-0.5,0,1
0,1,0,27491,1.30859375,0.44140625,3,1,13,74,6,1377.43505859375,276.139617919922,0,1,faces,female,0,1,faces,A,female,EX,I,53,J04,218.560546875,0.2,0.09090909090909091,-0.40909090909090906,-0.3,0,1
0,1,0,27492,1.80859375,0.41015625,4,1,3,31,7,855.521423339844,456.001312255859,0,1,faces,male,0,1,faces,A,female,EX,I,53,J04,218.560546875,0.4,0.18181818181818182,-0.3181818181818182,-0.09999999999999998,0,1
0,1,0,27494,2.44140625,0.43359375,5,0,10,69,9,1266.54907226562,674.949096679688,0,1,faces,female,0,1,faces,A,female,EX,I,53,J04,218.560546875,0.6,0.2727272727272727,-0.2272727272727273,0.09999999999999998,0,1
0,1,1,27496,2.9921875,0.23828125,6,0,12,72,11,1289.13623046875,941.556274414062,0,1,faces,male,0,1,faces,A,female,EX,I,53,J04,218.560546875,0.8,0.36363636363636365,-0.13636363636363635,0.30000000000000004,0,1
0,1,0,27499,3.650390625,0.37109375,7,0,15,81,14,1378.67565917969,908.085266113281,0,1,objects,big,0,1,faces,A,female,EX,I,53,J04,218.560546875,1.0,0.45454545454545453,-0.04545454545454547,0.5,0,1
0,1,0,27505,1.55859375,0.205078125,2,1,15,78,3,1394.69946289062,675.712890625,0,1,faces,male,0,1,faces,A,female,EX,F,54,J04,222.759765625,0.0,0.0,-0.5,-0.5,0,1
0,1,0,27508,2.19921875,0.431640625,3,1,11,63,6,1183.79089355469,965.499450683594,0,1,objects,small,0,1,faces,A,female,EX,F,54,J04,222.759765625,0.5,0.09090909090909091,-0.40909090909090906,0.0,0,1
0,1,0,27511,3.263671875,0.6171875,4,1,1,14,9,641.090087890625,585.666931152344,0,1,faces,female,0,1,faces,A,female,EX,F,54,J04,222.759765625,1.0,0.18181818181818182,-0.3181818181818182,0.5,0,1
0,1,0,27566,0.529296875,0.12890625,2,1,4,23,2,731.872375488281,572.416687011719,0,1,faces,male,0,1,objects,A,big,VS,O,58,J04,239.556640625,0.0,0.0,-0.5,-0.5,1,0
0,1,0,27567,0.6796875,0.17578125,3,1,1,4,3,545.168029785156,441.347473144531,0,1,objects,big,0,1,objects,A,big,VS,O,58,J04,239.556640625,0.25,0.09090909090909091,-0.40909090909090906,-0.25,1,0
0,1,0,27569,1.318359375,0.447265625,4,1,13,70,5,1285.69250488281,783.305541992188,0,1,objects,small,0,1,objects,A,big,VS,O,58,J04,239.556640625,0.5,0.18181818181818182,-0.3181818181818182,0.0,1,0
0,1,0,27571,2.59765625,0.31640625,5,0,2,11,7,652.625793457031,265.630584716797,0,1,objects,big,0,1,objects,A,big,VS,O,58,J04,239.556640625,0.75,0.2727272727272727,-0.2272727272727273,0.25,1,0
